week,범죄도시2,탑건: 매버릭,아바타: 물의 길,한산: 용의 출현,공조2: 인터내셔날,닥터 스트레인지: 대혼돈의 멀티버스,헌트,올빼미,쥬라기 월드: 도미니언,마녀(魔女) Part2. The Other One,토르: 러브 앤 썬더,미니언즈2,블랙 팬서: 와칸다 포에버,비상선언,육사오(6/45),헤어질 결심,외계+인 1부,영웅,해적: 도깨비 깃발,브로커,신비한 동물들과 덤블도어의 비밀,인생은 아름다워,더 배트맨,데시벨,정직한 후보2,씽2게더,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,블랙 아담,킹메이커,자백,언차티드,경관의 피,극장판 주술회전 0,압꾸정,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,이상한 나라의 수학자,명탐정 코난: 할로윈의 신부,동감,모비우스,늑대사냥,뽀로로 극장판 드래곤캐슬 대모험,특송,니 부모 얼굴이 보고 싶다,놉,리멤버,배드 가이즈,뜨거운 피,신비아파트 극장판 차원도깨비와 7개의 세계,버즈 라이트이어,탄생,수퍼 소닉2,DC 리그 오브 슈퍼-펫,나일 강의 죽음,아바타 리마스터링,극장판 헬로카봇: 수상한 마술단의 비밀,문폴,극장판 뽀로로와 친구들: 바이러스를 없애줘!,원피스 필름 레드,오펀: 천사의 탄생,극장판 엄마 까투리: 도시로 간 까투리 가족,앵커,공기살인,극장판 엉덩이 탐정: 수플레 섬의 비밀,젠틀맨,불릿 트레인,하우스 오브 구찌,웨스트 사이드 스토리,극장판 안녕 자두야: 제주도의 비밀,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,앰뷸런스,로스트 시티,서울괴담,스트레인지 월드,블랙폰,스마일,엘비스,스텔라,폴: 600미터,인민을 위해 복무하라,프레이 포 더 데블,리미트,극장판 5등분의 신부,엔시티 드림 더 무비 : 인 어 드림,빅샤크4: 바다공룡 대모험,더 킬러: 죽어도 되는 아이,티켓 투 파라다이스,시맨틱 에러: 더 무비,본즈 앤 올,인생은 뷰티풀: 비타돌체,아인보: 아마존의 전설,컴백홈,355.,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,세븐틴 파워 오브 러브 : 더 무비,극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,루이스 웨인: 사랑을 그린 고양이 화가,귀못,나이트메어 앨리,민스미트 작전,배니싱: 미제사건
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,730,000",0,0,0,"2,320,748,690",0,0,"22,493,710",0,0,"14,676,060",0,"255,900,910",0,"462,408,700",0,0,"2,488,511,910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,004,500",0,0,0,0,0,0,0,0,0,0,0,0,"385,000",0,"11,005,000",0,0,0,0,0,0,0,0,0,0,"32,309,570",0,0,0,0,0,0,0,0,0,0,0,0,0,"357,130,220",0,0,0,0,"34,872,970",0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,864,000",0,0,0,"858,230,340",0,0,"14,962,300",0,0,"15,245,000",0,"55,871,440",0,"307,578,120",0,0,"1,234,741,550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,401,000",0,0,"1,536,198,420",0,0,0,0,0,0,0,0,0,"470,000",0,"7,133,300",0,0,0,0,0,0,0,0,0,0,"3,047,600",0,0,0,0,0,0,0,0,0,0,0,0,0,"83,708,000",0,0,0,0,"10,792,500",0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,650,000",0,0,0,"473,530,700",0,0,"3,865,600",0,0,"6,792,000",0,"14,412,900",0,"543,239,750",0,0,"733,931,760",0,0,0,0,0,0,0,0,0,0,"2,429,971,500",0,0,0,0,0,0,0,0,"361,117,800",0,0,0,0,0,0,0,0,0,0,0,"7,404,800",0,0,0,0,0,0,0,0,0,0,"1,744,970",0,0,0,0,0,0,0,0,0,0,0,0,0,"19,409,670",0,0,0,0,"4,102,200",0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,639,000",0,0,0,"190,420,710",0,0,"2,716,900",0,0,"41,000",0,"4,736,500",0,"236,922,770",0,0,"338,501,620",0,0,"3,327,166,090",0,0,0,0,0,0,0,"838,796,690",0,0,0,0,0,0,0,0,"36,313,180",0,0,0,0,0,0,0,0,0,0,0,"7,191,600",0,0,0,0,0,0,0,0,0,0,"1,514,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,623,500",0,0,0,0,"1,906,500",0,"261,746,710"
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"56,183,450",0,0,"54,000",0,0,0,0,"329,500",0,"116,783,460",0,0,"86,858,680",0,0,"975,092,840",0,0,0,0,0,0,0,"262,008,280",0,0,0,"1,269,885,170",0,0,0,0,"5,351,900",0,0,0,0,0,0,0,0,0,0,0,"732,000",0,"917,511,400",0,0,0,0,0,0,"586,573,020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,962,200",0,0,"299,726,160",0,"713,700",0,"18,746,900"
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,616,186,080",0,"17,825,650",0,0,0,0,0,0,0,0,0,"187,661,810",0,0,"13,049,500",0,0,"295,675,490",0,0,0,0,0,0,0,"68,469,000",0,0,0,"678,462,090",0,0,0,0,"840,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"192,479,410",0,0,0,0,0,0,"217,104,780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"238,599",0,0,"66,287,760",0,"768,200",0,"205,000"
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,010,921,480",0,"4,698,800",0,0,0,0,0,0,0,0,0,"84,935,690",0,0,"6,131,500",0,0,"40,206,970",0,0,0,0,0,0,0,"8,483,500",0,0,0,"398,823,000",0,0,0,0,0,0,0,0,0,"1,145,471,060","993,754,170",0,0,0,0,0,0,0,"9,109,300","723,745,400",0,0,0,0,0,"15,572,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"451,340,500",0,"28,378,220",0,"86,500",0,"31,000"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,748,445,950",0,"632,500",0,0,0,0,0,0,0,0,0,"127,341,610",0,0,"21,162,000",0,0,"12,766,000",0,0,0,"2,500,948,120",0,0,0,"67,654,000",0,0,0,"285,767,670",0,0,0,0,0,0,0,0,0,"382,207,950","390,285,780",0,0,0,0,0,0,0,"2,076,000","252,628,850","661,004,920",0,0,0,0,"6,717,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"466,479,000",0,"2,961,970",0,0,0,"2,515,000"
18,0,0,0,0,0,"40,522,218,130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"602,294,110",0,"30,000",0,0,0,0,0,0,0,0,0,"62,089,700",0,0,0,0,0,"5,158,000",0,0,0,"886,344,120",0,0,"2,365,547,670","67,648,000",0,0,0,"140,617,260",0,0,0,0,0,0,0,0,0,"16,187,600","27,140,100","1,086,777,210",0,0,0,0,0,0,"6,902,000","1,603,600","263,158,330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"47,639,000",0,"5,922,000",0,0,0,"15,720,500"
19,0,0,0,0,0,"13,462,693,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"247,714,360",0,0,0,0,0,0,0,0,0,0,0,"41,548,040",0,0,0,0,0,0,0,0,0,"411,940,620",0,0,"687,110,710",0,0,0,0,"27,167,220",0,0,0,0,0,0,0,0,0,"4,201,500","7,498,200","195,905,340",0,0,0,0,0,0,"2,100,000","96,000","122,702,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"271,567,840",0
20,"41,542,907,230",0,0,0,0,"4,869,933,220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,901,260",0,0,0,0,0,0,0,0,0,0,0,"36,778,200",0,0,0,0,0,0,0,0,0,"29,668,920",0,0,"384,326,850",0,0,0,0,"4,858,800",0,0,0,0,0,0,0,0,0,"3,164,500","1,142,000","83,673,290",0,0,0,0,0,0,"1,500,000",0,"17,652,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,185,070",0
21,"28,970,437,320",0,0,0,0,"2,924,589,740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,863,770",0,0,0,0,0,0,0,0,0,0,0,"9,709,700",0,0,0,0,0,0,0,0,0,"6,975,500",0,0,"145,855,020",0,0,0,0,"12,649,200",0,0,0,0,0,0,0,0,0,"5,306,000","2,864,000","30,568,700",0,0,0,0,0,0,0,0,"3,203,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,398,570",0
22,"25,341,538,000",0,0,0,0,"597,777,530",0,0,"22,925,512,090",0,0,0,0,0,0,0,0,0,0,0,"3,526,600",0,0,0,0,0,0,0,0,0,0,0,"5,520,970",0,"3,708,040,470",0,0,0,0,0,0,0,"27,309,000",0,0,"12,531,280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,718,200",0,0,0,0,0,0,0,0,"729,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,002,000",0
23,"13,105,008,320",0,0,0,0,"164,288,470",0,0,"4,621,515,600",0,0,0,0,0,0,0,0,0,0,"8,794,127,490","991,000",0,0,0,0,0,0,0,0,0,0,0,"4,678,800",0,"1,225,878,810",0,0,0,0,0,0,0,"33,757,000",0,0,"5,376,220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,624,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,932,500",0
24,"9,142,331,870",0,0,0,0,"67,282,710",0,0,"1,198,478,420","17,348,309,360",0,0,0,0,0,0,0,0,0,"2,669,005,110","5,568,970",0,0,0,0,0,0,0,0,0,0,0,"6,276,260",0,"352,612,010",0,0,0,0,0,0,0,0,0,0,"14,789,000",0,0,"2,443,856,490",0,0,0,0,0,0,0,0,0,0,0,0,0,"101,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,000",0
25,"5,414,678,020","19,114,941,930",0,0,0,"14,585,660",0,0,"322,329,480","6,781,402,830",0,0,0,0,0,0,0,0,0,"775,957,600",0,0,0,0,0,0,0,0,0,0,0,0,"9,612,700",0,"95,822,380",0,0,0,0,0,0,0,0,0,0,"2,507,000",0,0,"602,781,340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"3,493,605,430","19,471,244,310",0,0,0,"3,415,700",0,0,"132,733,820","3,612,006,440",0,0,0,0,0,"5,933,971,800",0,0,0,"208,018,730",0,0,0,0,0,0,0,0,0,0,0,0,"13,782,260",0,"62,380,600",0,0,0,0,0,0,0,0,0,0,0,0,0,"370,373,740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"1,462,574,710","12,521,251,460",0,0,0,"2,528,100",0,0,"17,475,400","944,214,190","21,238,386,610",0,0,0,0,"3,765,851,260",0,0,0,"46,433,400",0,0,0,0,0,0,0,0,0,0,0,0,"13,988,800",0,"20,387,420",0,0,0,0,0,0,0,0,0,0,0,0,0,"50,490,290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"408,550,280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"619,008,400","11,575,922,167",0,0,0,"432,500",0,0,"3,346,500","167,584,650","6,749,776,080",0,0,0,0,"3,740,304,160",0,0,0,"20,623,900",0,0,0,0,0,0,0,0,0,0,0,0,"3,235,900",0,"10,562,020",0,"2,659,488,366",0,0,0,0,0,0,0,0,0,0,0,"25,415,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"721,975,700",0,0,0,0,0,0,0,"108,366,400","531,778,840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"167,401,470","7,566,408,000",0,0,0,"263,500",0,0,"5,072,000","6,194,200","1,316,745,108","9,744,563,442",0,0,0,"2,528,793,803","11,192,024,080",0,0,"8,343,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"703,000",0,"1,140,191,038",0,0,0,0,0,0,0,0,0,0,0,"1,439,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"130,934,450",0,0,0,0,0,0,0,"6,577,600","41,886,320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"39,391,520","5,671,172,096",0,"30,502,079,331",0,0,0,0,0,"4,997,500","130,855,105","6,677,945,405",0,0,0,"1,598,824,649","3,701,109,541",0,0,"3,842,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"598,982,553",0,0,0,"2,555,164,130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"68,340,700",0,0,0,0,0,0,0,"4,408,000","14,679,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"9,904,300","3,364,511,288",0,"19,265,964,812",0,0,0,0,0,"15,275,500","30,899,920","3,101,830,086",0,"15,591,086,487",0,"886,067,672","758,192,529",0,0,"857,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"202,632,613",0,0,0,"1,015,128,736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,708,599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"388,044,898",0,0,0,0,0
32,"3,063,059","2,582,777,491",0,"14,001,942,343",0,0,"21,539,518,221",0,0,"800,000","5,635,200","1,405,948,859",0,"3,974,793,959",0,"415,622,319","180,184,998",0,0,"178,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80,766,694",0,0,0,"369,853,890",0,0,0,0,0,0,0,0,0,0,"1,590,960,896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50,121,970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,336,920",0,0,0,0,0
33,"1,245,700","1,801,622,816",0,"5,546,993,730",0,0,"11,618,575,558",0,0,0,"2,328,500","574,512,482",0,"877,892,226",0,"231,877,804","40,375,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,848,089",0,0,0,"123,991,259",0,0,"3,319,891,190",0,0,0,0,0,0,0,"482,707,245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,186,690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,613,980",0,0,0,0,0
34,"806,200","1,083,701,174",0,"2,355,727,619",0,0,"6,145,885,432",0,0,0,"1,512,099","279,362,565",0,"116,232,864","5,886,111,398","137,920,890","9,728,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,835,489",0,0,0,"58,975,000",0,0,"866,605,756",0,0,0,0,0,0,0,"129,710,160",0,0,0,0,0,0,0,0,0,0,0,0,"1,220,346,768",0,0,0,0,0,0,0,0,0,0,"7,063,590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"459,300",0,0,0,0,0
35,"425,099","1,084,693,485",0,"1,098,096,051",0,0,"3,447,878,847",0,0,0,"2,776,000","162,124,815",0,"73,202,316","6,198,393,099","90,400,713","9,201,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"218,977,996",0,0,0,"45,519,560",0,0,"362,961,250",0,0,0,0,0,0,0,"56,026,259",0,0,0,0,0,0,0,0,0,0,0,0,"169,945,131",0,0,0,0,0,0,0,0,0,0,"6,225,089",0,0,0,0,"588,799,102",0,0,0,0,0,"214,443,500",0,0,0,0,0,0,0,0,0,0,0,0,0
36,"485,000","835,502,889",0,"575,690,300","36,537,537,082",0,"1,180,719,609",0,0,0,"243,099","20,003,520",0,"2,613,060","4,797,512,667","41,334,692","1,997,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,576,698",0,0,0,"6,340,000",0,0,"82,827,661",0,0,0,0,0,0,0,"16,103,599",0,0,0,0,0,0,0,"927,122,844",0,0,0,0,"18,961,598",0,0,0,0,0,0,0,0,"737,453,046",0,"1,640,500",0,0,0,0,"8,481,300",0,0,0,0,0,"98,337,000",0,"842,906,500",0,0,0,0,0,0,0,0,0,0,0
37,0,"235,193,099",0,"95,707,296","14,075,971,767",0,"352,355,943",0,0,0,0,"1,560,998",0,"9,563,200","1,757,262,759","25,607,587","598,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,471,297",0,0,0,"1,433,000",0,0,"20,020,591",0,0,0,0,0,0,0,"6,776,000",0,0,0,0,0,0,0,"415,795,864",0,0,0,0,"3,133,000",0,0,0,0,0,0,0,0,"172,922,897",0,"3,270,340",0,0,0,0,"584,000",0,0,0,0,0,"77,635,800",0,"479,516,500",0,0,0,0,0,0,0,0,0,0,0
38,0,"34,720,284",0,"28,128,800","7,609,652,569",0,"96,265,953",0,0,0,0,"4,158,000",0,"33,808,000","711,305,483","22,090,497","11,756,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,937,898",0,0,"3,839,320,055","1,272,500",0,0,"8,293,791",0,0,0,0,0,0,0,0,0,"2,139,268,500",0,0,0,0,0,"186,265,411",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,434,099",0,"354,000",0,0,0,0,"120,000","287,758,700",0,0,0,0,"34,349,400",0,"265,492,000",0,0,0,0,0,0,0,0,0,0,0
39,0,"29,736,390",0,"9,248,099","5,778,963,771",0,"29,788,995",0,0,0,0,0,0,0,"169,835,070","16,527,494","6,964,000",0,0,0,0,"3,183,358,290",0,0,"4,725,949,831",0,"2,433,086,481",0,0,0,0,0,0,0,0,0,"3,908,298",0,0,"719,763,842",0,0,0,"4,580,796",0,0,0,0,0,0,0,0,0,"1,755,822,040","1,367,485,935",0,0,0,0,"28,424,080",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,849,000",0,"265,000",0,0,0,0,0,"105,867,400",0,0,0,0,"21,831,800",0,"24,263,500",0,0,0,0,0,0,0,0,0,0,0
40,0,"18,453,893",0,"5,797,496","3,895,088,861",0,"7,302,198",0,0,0,0,0,0,0,"65,778,004","15,420,994",0,0,0,0,0,"2,850,935,053",0,0,"2,119,927,078",0,"2,069,117,487",0,0,0,0,0,0,0,0,0,"1,692,698",0,0,"164,807,577",0,0,0,"4,816,100",0,0,0,0,0,0,0,0,0,0,"494,553,351",0,0,0,0,"14,667,200",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,100,000","742,203,370",0,0,0,0,0,0,"132,845,500",0,0,0,0,"18,929,500",0,"390,000",0,"336,206,681",0,0,0,0,0,0,0,0,0
